FACTOR,PI,TIMESTAMP
1,4,"2021-12-12 04:00:01"
1,4,"2021-12-12 04:01:02"
8,3.017071817071818,"2021-12-12 04:02:03"
27,3.1786170109992202,"2021-12-12 04:03:03"
64,3.125968606973288,"2021-12-12 04:04:04"
125,3.1495925256000317,"2021-12-12 04:05:04"
216,3.1369630487667557,"2021-12-12 04:06:04"
343,3.1445080992896712,"2021-12-12 04:07:04"
512,3.139639530452431,"2021-12-12 04:08:05"
729,3.1429643950569854,"2021-12-12 04:09:05"
1000,3.140592653839794,"2021-12-12 04:10:05"
1331,3.14234396828467,"2021-12-12 04:11:06"
1728,3.141013949934539,"2021-12-12 04:12:06"
2197,3.142047819701858,"2021-12-12 04:13:06"
2744,3.1412282221150143,"2021-12-12 04:14:07"
3375,3.14188894987959,"2021-12-12 04:15:07"
4096,3.141348512968434,"2021-12-12 04:16:07"
4913,3.1417961952119438,"2021-12-12 04:17:08"
5832,3.141421185826989,"2021-12-12 04:18:08"
6859,3.141738447436511,"2021-12-12 04:19:08"
8000,3.141467653590268,"2021-12-12 04:20:08"
9261,3.141700633289284,"2021-12-12 04:21:09"
10648,3.141498739239878,"2021-12-12 04:22:09"
12167,3.141674843118693,"2021-12-12 04:23:09"
13824,3.141520315626915,"2021-12-12 04:24:10"
15625,3.141656653589722,"2021-12-12 04:25:10"
17576,3.1415357578228837,"2021-12-12 04:26:10"
19683,3.1416434588531876,"2021-12-12 04:27:11"
21952,3.141547099653953,"2021-12-12 04:28:11"
24389,3.1416336556808755,"2021-12-12 04:29:11"
27000,3.1415556165527665,"2021-12-12 04:30:12"
29791,3.1416262207744947,"2021-12-12 04:31:12"
32768,3.1415621360116797,"2021-12-12 04:32:13"
35937,3.1416204800638963,"2021-12-12 04:33:13"
39304,3.141567210886769,"2021-12-12 04:34:14"
42875,3.1416159772049452,"2021-12-12 04:35:14"
46656,3.1415712201192867,"2021-12-12 04:36:15"
50653,3.141612395757074,"2021-12-12 04:37:16"
54872,3.1415744293588412,"2021-12-12 04:38:16"
59319,3.141609511594793,"2021-12-12 04:39:16"
64000,3.141577028589768,"2021-12-12 04:40:17"
68921,3.141607162955563,"2021-12-12 04:41:17"
74088,3.1415791561272712,"2021-12-12 04:42:20"
79507,3.141605231098648,"2021-12-12 04:43:21"
85184,3.1415809142959636,"2021-12-12 04:44:22"
91125,3.1416036275266306,"2021-12-12 04:45:22"
97336,3.141582379898584,"2021-12-12 04:46:23"
103823,3.1416022853668917,"2021-12-12 04:47:24"
110592,3.1415836113443634,"2021-12-12 04:48:24"
117649,3.1416011534494763,"2021-12-12 04:49:26"
125000,3.141584653589728,"2021-12-12 04:50:27"
132651,3.1416001921684225,"2021-12-12 04:51:28"
140608,3.1415855416188876,"2021-12-12 04:52:31"
148877,3.141599370544006,"2021-12-12 04:53:32"
157464,3.1415863029318056,"2021-12-12 04:54:35"
166375,3.141598664108154,"2021-12-12 04:55:36"
175616,3.141586959347785,"2021-12-12 04:56:37"
185193,3.1415980533619163,"2021-12-12 04:57:40"
195112,3.1415875283283916,"2021-12-12 04:58:42"
